soh,,
101.765,,
101.255,,
100.665,,
100.665,,
100.025,,
100.695,,Max Capacity 2Ah
100.655,,
98.44,,
98.41,,
97.86,,
97.28,,
96.74,,
96.165,,
95.595,,
95.055,,
94.46,,
93.915,,
93.38,,
93.38,,
98.98,,
97.875,,
97.29,,
96.21,,
97.3,,
95.07,,
93.935,,
93.415,,
92.8,,
92.26,,
92.86,,
96.24,,
94.11,,
92.765,,
91.965,,
90.925,,
90.675,,
89.855,,
89.05,,
88.55,,
88.025,,
87.515,,
87.735,,
86.69,,
85.665,,
85.12,,
90.405,,
88.79,,
87.235,,
86.46,,
85.405,,
84.88,,
84.105,,
83.575,,
83.04,,
82.555,,
82.005,,
81.46,,
80.44,,
80.175,,
79.95,,
79.38,,
78.355,,
78.065,,
77.56,,
77.035,,
76.265,,
76.51,,
76.235,,
75.725,,
75.47,,
75.2,,
74.675,,
74.38,,
75.205,,
74.44,,
73.915,,
73.925,,
73.66,,
73.375,,
72.58,,
72.595,,
72.355,,
72.345,,
72.085,,
77.32,,
75.735,,
74.95,,
74.155,,
73.65,,
71.4,,
72.59,,
72.345,,
72.07,,
71.56,,
71.3,,
71.025,,
71.035,,
72.615,,
71.58,,
70.75,,
70.485,,
70.245,,
69.76,,
69.725,,
69.465,,
69.19,,
68.685,,
68.93,,
68.69,,
68.415,,
68.165,,
67.905,,
67.665,,
69.21,,
70.255,,
68.935,,
68.415,,
67.865,,
67.625,,
67.37,,
66.85,,
66.56,,
66.095,,
66.08,,
66.06,,
65.78,,
66.045,,
66.3,,
65.505,,
65.26,,
65.02,,
65.01,,
64.475,,
63.965,,
63.96,,
63.7,,
63.705,,
63.19,,
62.905,,
62.665,,
62.66,,
62.405,,
62.67,,
64.49,,
63.175,,
62.415,,
61.605,,
61.355,,
61.085,,
60.555,,
60.28,,
60.045,,
59.53,,
59.26,,
58.985,,
58.73,,
57.69,,
58.22,,
57.94,,
58.75,,
59.285,,
